Geneid	Chr	Start	End	Strand	Length	TSS
ENSG00000223823	1	1137017	1137110	+	1620	1137017.0
ENSG00000207730	1	1167104	1167198	+	95	1167104.0
ENSG00000207607	1	1167863	1167952	+	90	1167863.0
ENSG00000198976	1	1169005	1169087	+	83	1169005.0
ENSG00000272141	1	1169357	1170343	+	987	1169357.0
ENSG00000162571	1	1173884	1173926	+	3943	1173884.0
ENSG00000205231	1	1173056	1176396	-	3532	1176396.0
ENSG00000186891	1	1203508	1203960	-	1370	1203960.0
ENSG00000186827	1	1211326	1211625	-	1721	1211625.0
ENSG00000078808	1	1216908	1217688	-	4709	1217688.0
ENSG00000176022	1	1232265	1235041	+	2777	1232265.0
ENSG00000184163	1	1242446	1242646	-	1794	1242646.0
ENSG00000260179	1	1249777	1251334	-	1558	1251334.0
ENSG00000160087	1	1253909	1255487	-	4712	1255487.0
ENSG00000230415	1	1275223	1275299	+	513	1275223.0
ENSG00000162572	1	1280436	1280666	+	4025	1280436.0
ENSG00000131584	1	1292376	1293708	-	8809	1293708.0
ENSG00000278073	1	1296110	1296170	-	61	1296170.0
ENSG00000169972	1	1308567	1308720	+	2489	1308567.0
ENSG00000127054	1	1311585	1311924	-	8220	1311924.0
ENSG00000240731	1	1317581	1317899	-	386	1317899.0
ENSG00000224051	1	1324756	1325102	+	2556	1324756.0
ENSG00000169962	1	1331314	1331536	+	3433	1331314.0
ENSG00000107404	1	1335276	1336515	-	3814	1336515.0
ENSG00000162576	1	1352689	1353629	-	3622	1353629.0
ENSG00000175756	1	1373730	1373902	-	1669	1373902.0
ENSG00000223663	1	1378666	1379032	+	367	1378666.0
ENSG00000221978	1	1385711	1387582	-	6850	1387582.0
ENSG00000224870	1	1399522	1399689	+	2525	1399522.0
ENSG00000242485	1	1401908	1402256	-	2788	1402256.0
ENSG00000264293	1	1405460	1405752	-	293	1405752.0
ENSG00000272455	1	1409096	1410618	+	1523	1409096.0
ENSG00000235098	1	1418420	1419549	-	2644	1419549.0
ENSG00000225905	1	1420245	1420564	+	543	1420245.0
ENSG00000205116	1	1426128	1426385	+	492	1426128.0
ENSG00000225285	1	1430539	1430662	-	851	1430662.0
ENSG00000179403	1	1434861	1435146	+	5065	1434861.0
ENSG00000215915	1	1449689	1450758	+	3976	1449689.0
ENSG00000160072	1	1471769	1472089	+	7682	1471769.0
ENSG00000197785	1	1512151	1512473	+	3069	1512151.0
ENSG00000205090	1	1535174	1535507	-	1380	1535507.0
ENSG00000160075	1	1541673	1542167	-	6925	1542167.0
ENSG00000215014	1	1574975	1577075	+	2101	1574975.0
ENSG00000279244	1	1579756	1579932	+	276	1579756.0
ENSG00000274481	1	1583510	1583909	-	400	1583909.0
ENSG00000228594	1	1598012	1600096	-	2085	1600096.0
ENSG00000197530	1	1615415	1615633	+	8767	1615415.0
ENSG00000272106	1	1613758	1615795	-	2038	1615795.0
ENSG00000189409	1	1632095	1632374	+	2273	1632095.0
ENSG00000248333	1	1635227	1635856	-	3488	1635856.0
ENSG00000272004	1	1659325	1659452	+	400	1659325.0
ENSG00000189339	1	1659529	1660111	-	8395	1660111.0
ENSG00000269737	1	1671990	1673411	+	1819	1671990.0
ENSG00000215914	1	1699942	1700072	+	1017	1699942.0
ENSG00000008128	1	1702730	1702999	-	4701	1702999.0
ENSG00000268575	1	1702736	1702999	-	5079	1702999.0
ENSG00000227775	1	1724512	1724763	+	2759	1724512.0
ENSG00000215790	1	1724838	1725422	-	3264	1725422.0
ENSG00000008130	1	1751232	1753060	-	5570	1753060.0
ENSG00000078369	1	1785285	1787053	-	6417	1787053.0
ENSG00000231050	1	1891471	1891851	+	906	1891471.0
ENSG00000169885	1	1914827	1915307	+	2321	1914827.0
ENSG00000178821	1	1917590	1918162	-	1594	1918162.0
ENSG00000142609	1	1921951	1922388	-	10422	1922388.0
ENSG00000233542	1	2013213	2015000	-	1954	2015000.0
ENSG00000187730	1	2019324	2019491	+	1928	2019324.0
ENSG00000226969	1	2049203	2049468	-	538	2049468.0
ENSG00000067606	1	2050470	2050701	+	7636	2050470.0
ENSG00000271806	1	2141084	2145279	-	4196	2145279.0
ENSG00000182873	1	2181794	2182741	-	1734	2182741.0
ENSG00000162585	1	2184461	2185513	-	10916	2185513.0
ENSG00000234396	1	2212523	2212644	+	326	2212523.0
ENSG00000157933	1	2228695	2229735	+	6080	2228695.0
ENSG00000116151	1	2321253	2321579	-	11337	2321579.0
ENSG00000272161	1	2326201	2326693	-	493	2326693.0
ENSG00000269896	1	2350414	2352820	-	2407	2352820.0
ENSG00000272420	1	2363061	2363628	-	568	2363628.0
ENSG00000157916	1	2391775	2391958	+	5691	2391775.0
ENSG00000157911	1	2403964	2405834	-	3789	2405834.0
ENSG00000149527	1	2425980	2426037	+	10781	2425980.0
ENSG00000224387	1	2492300	2492596	-	455	2492596.0
ENSG00000229393	1	2493437	2493853	-	514	2493853.0
ENSG00000157881	1	2508533	2509060	-	5107	2509060.0
ENSG00000197921	1	2528745	2529749	-	1306	2529749.0
ENSG00000272449	1	2546465	2547460	+	996	2546465.0
ENSG00000238164	1	2549920	2550119	-	6137	2550119.0
ENSG00000157873	1	2555639	2555667	+	6219	2555639.0
ENSG00000225931	1	2566410	2566605	+	1297	2566410.0
ENSG00000228037	1	2581560	2581650	+	626	2581560.0
ENSG00000157870	1	2586491	2586591	+	3371	2586491.0
ENSG00000142606	1	2590639	2591089	-	3844	2591089.0
ENSG00000237058	1	2632568	2632675	+	373	2632568.0
ENSG00000215912	1	2635976	2641895	-	8814	2641895.0
ENSG00000283259	1	2773603	2773864	+	1565	2773603.0
ENSG00000233234	1	2811850	2811998	-	607	2811998.0
ENSG00000231630	1	2814432	2814688	-	429	2814688.0
ENSG00000169717	1	3021483	3022903	+	1421	3021483.0
ENSG00000177133	1	3059615	3059737	-	5600	3059737.0
ENSG00000142611	1	3069168	3069296	+	9767	3069168.0
ENSG00000283572	1	3127975	3128035	+	61	3127975.0
ENSG00000226286	1	3132927	3133258	-	469	3133258.0
ENSG00000279839	1	3205988	3208664	+	2677	3205988.0
ENSG00000272235	1	3306636	3310096	-	3461	3310096.0
ENSG00000130762	1	3454426	3454811	+	5563	3454426.0
ENSG00000272088	1	3487246	3487627	+	382	3487246.0
ENSG00000162591	1	3489920	3490589	-	7039	3490589.0
ENSG00000207776	1	3560695	3560790	-	96	3560790.0
ENSG00000238260	1	3623190	3623556	-	622	3623556.0
ENSG00000158109	1	3625002	3625273	+	2414	3625002.0
ENSG00000116213	1	3630767	3631117	-	7604	3631117.0
ENSG00000078900	1	3652520	3652641	+	6763	3652520.0
ENSG00000227589	1	3658938	3659430	-	754	3659430.0
ENSG00000235131	1	3712200	3712438	-	351	3712438.0
ENSG00000227372	1	3735601	3736588	-	7209	3736588.0
ENSG00000276189	1	3736943	3737103	+	161	3736943.0
ENSG00000162592	1	3746460	3746691	+	4285	3746460.0
ENSG00000235169	1	3772788	3772841	+	954	3772788.0
ENSG00000130764	1	3778558	3781336	-	4516	3781336.0
ENSG00000266075	1	3782815	3783111	+	297	3782815.0
ENSG00000272153	1	3785008	3785538	+	531	3785008.0
ENSG00000116198	1	3812081	3815517	-	7876	3815517.0
ENSG00000169598	1	3857267	3857717	+	3870	3857267.0
ENSG00000198912	1	3889125	3890073	-	4388	3890073.0
ENSG00000236423	1	3900372	3900631	+	4064	3900372.0
ENSG00000233304	1	3940565	3940698	+	3894	3940565.0
ENSG00000226374	1	3944547	3945141	-	1852	3945141.0
ENSG00000229280	1	4175528	4175899	-	372	4175899.0
ENSG00000235054	1	4412027	4412349	+	2104	4412027.0
ENSG00000227169	1	4551735	4552049	-	356	4552049.0
ENSG00000232596	1	4571481	4571629	+	1994	4571481.0
ENSG00000196581	1	4654732	4655454	+	12405	4654732.0
ENSG00000231510	1	5086459	5086569	-	449	5086569.0
ENSG00000260972	1	5492978	5494674	+	1697	5492978.0
ENSG00000283356	1	5554747	5554881	+	135	5554747.0
ENSG00000236948	1	5561709	5562254	-	1095	5562254.0
ENSG00000264341	1	5564071	5564143	+	73	5564071.0
ENSG00000264101	1	5862672	5862741	-	70	5862741.0
ENSG00000131697	1	5862811	5863405	-	13167	5863405.0
ENSG00000069424	1	5991466	5991556	+	9534	5991466.0
ENSG00000116254	1	6101793	6105427	-	9890	6105427.0
ENSG00000116251	1	6181269	6181486	-	4900	6181486.0
ENSG00000226944	1	6204840	6204982	-	378	6204982.0
ENSG00000158286	1	6205475	6206101	+	6585	6205475.0
ENSG00000116237	1	6221193	6225262	-	4910	6225262.0
ENSG00000225077	1	6236240	6236336	+	1685	6236240.0
ENSG00000173673	1	6244192	6244241	+	697	6244192.0
ENSG00000158292	1	6247346	6250003	-	4082	6250003.0
ENSG00000097021	1	6264269	6264695	-	4124	6264695.0
ENSG00000271746	1	6393555	6394391	+	837	6393555.0
ENSG00000069812	1	6412418	6413282	-	5407	6413282.0
ENSG00000187017	1	6424788	6425249	+	6943	6424788.0
ENSG00000265392	1	6429834	6429896	-	63	6429896.0
ENSG00000231868	1	6443034	6443169	-	351	6443169.0
ENSG00000215788	1	6461151	6461762	-	3918	6461762.0
ENSG00000171680	1	6466092	6467572	-	6920	6467572.0
ENSG00000162408	1	6521347	6526003	-	7293	6526003.0
ENSG00000253022	1	6540854	6540964	+	111	6540854.0
ENSG00000229519	1	6547905	6548133	+	401	6547905.0
ENSG00000173662	1	6555181	6555564	+	2892	6555181.0
ENSG00000204859	1	6580001	6580049	+	4503	6580001.0
ENSG00000162413	1	6590724	6595557	-	6901	6595557.0
ENSG00000116273	1	6613685	6614105	+	3681	6613685.0
ENSG00000041988	1	6624866	6624954	+	4072	6624866.0
ENSG00000007923	1	6634168	6635700	-	5083	6635700.0
ENSG00000228750	1	6724637	6724850	+	2188	6724637.0
ENSG00000237436	1	6783892	6784045	-	415	6784045.0
ENSG00000171735	1	6785324	6785575	+	10033	6785324.0
ENSG00000227950	1	6834333	6834618	-	286	6834618.0
ENSG00000237365	1	7008376	7008695	-	349	7008695.0
ENSG00000207056	1	7219360	7219524	+	165	7219360.0
ENSG00000237402	1	7368942	7369116	+	365	7368942.0
ENSG00000237728	1	7382487	7382723	-	744	7382723.0
ENSG00000225126	1	7441096	7441181	-	361	7441181.0
ENSG00000270171	1	7693124	7694844	-	1721	7694844.0
ENSG00000270035	1	7698303	7698872	-	570	7698872.0
ENSG00000269978	1	7700704	7700970	-	267	7700970.0
ENSG00000049245	1	7771269	7771385	+	2760	7771269.0
ENSG00000269925	1	7776383	7776775	+	393	7776383.0
ENSG00000049246	1	7784320	7784376	+	8099	7784320.0
ENSG00000236266	1	7810242	7810716	-	830	7810716.0
ENSG00000049247	1	7843083	7843950	-	1791	7843950.0
ENSG00000049249	1	7915894	7920923	-	6331	7920923.0
ENSG00000270330	1	7942372	7942726	+	355	7942372.0
ENSG00000116288	1	7954291	7954323	+	2397	7954291.0
ENSG00000200344	1	7982881	7982983	-	103	7982983.0
ENSG00000116285	1	8004404	8004558	-	4186	8004558.0
ENSG00000238290	1	8026738	8027421	+	2044	8026738.0
ENSG00000232848	1	8057245	8057941	-	800	8057941.0
ENSG00000229305	1	8189824	8190331	+	1075	8189824.0
ENSG00000227634	1	8202429	8202876	+	950	8202429.0
ENSG00000200975	1	8206434	8206597	-	164	8206597.0
ENSG00000233645	1	8218190	8218533	-	477	8218533.0
ENSG00000251977	1	8292157	8292263	-	107	8292263.0
ENSG00000162426	1	8317826	8318186	+	2888	8317826.0
ENSG00000252254	1	8328067	8328179	+	113	8328067.0
ENSG00000142599	1	8352397	8355120	-	11503	8355120.0
ENSG00000232912	1	8424645	8424701	+	702	8424645.0
ENSG00000221083	1	8511795	8511919	-	125	8511919.0
ENSG00000270282	1	8512653	8513021	+	369	8512653.0
ENSG00000234619	1	8750430	8751087	+	658	8750430.0
ENSG00000224315	1	8786211	8786913	-	703	8786913.0
ENSG00000222511	1	8796571	8796673	-	103	8796673.0
ENSG00000226545	1	8798475	8798691	+	415	8798475.0
ENSG00000228423	1	8805860	8805939	-	353	8805939.0
ENSG00000229716	1	8831007	8831375	+	369	8831007.0
ENSG00000074800	1	8861002	8861429	-	3958	8861429.0
ENSG00000274258	1	8866502	8866590	-	89	8866590.0
ENSG00000236269	1	8875788	8876031	-	744	8876031.0
ENSG00000230679	1	8878835	8878960	+	456	8878835.0
ENSG00000201725	1	8883427	8883533	-	107	8883533.0
ENSG00000238249	1	8893409	8894151	+	743	8893409.0
ENSG00000232208	1	8907393	8907744	-	352	8907744.0
ENSG00000232663	1	8909742	8909904	+	163	8909742.0
ENSG00000131686	1	8945867	8945965	+	2662	8945867.0
ENSG00000265141	1	8979576	8979874	-	299	8979874.0
ENSG00000197241	1	9003300	9003518	-	1539	9003518.0
ENSG00000142583	1	9035107	9037789	-	6693	9037789.0
ENSG00000252404	1	9082696	9082879	+	184	9082696.0
ENSG00000180758	1	9100305	9104634	-	5372	9104634.0
ENSG00000228526	1	9148011	9151835	-	4571	9151835.0
ENSG00000234546	1	9182004	9182316	+	1662	9182004.0
ENSG00000281937	1	9197143	9198906	-	1764	9198906.0
ENSG00000049239	1	9234775	9235066	+	9321	9234775.0
ENSG00000171621	1	9292880	9293071	+	3403	9292880.0
ENSG00000252956	1	9437669	9437778	-	110	9437778.0
ENSG00000235263	1	9501092	9501548	-	708	9501548.0
ENSG00000171612	1	9539482	9539747	+	3854	9539482.0
ENSG00000231181	1	9576427	9576985	+	559	9576427.0
ENSG00000188807	1	9588922	9589043	+	6966	9588922.0
ENSG00000171608	1	9651732	9651802	+	6332	9651732.0
ENSG00000179840	1	9652610	9654043	-	1823	9654043.0
ENSG00000233268	1	9660828	9660918	-	421	9660918.0
ENSG00000231789	1	9672426	9672719	-	939	9672719.0
ENSG00000171603	1	9729026	9730705	-	5559	9730705.0
ENSG00000271264	1	9780822	9780900	+	246	9780822.0
ENSG00000280113	1	9827610	9828258	-	649	9828258.0
ENSG00000223989	1	9848318	9848466	+	424	9848318.0
ENSG00000178585	1	9848276	9850776	-	3339	9850776.0
ENSG00000162441	1	9922113	9922358	-	2794	9922358.0
ENSG00000228150	1	9942923	9943025	+	440	9942923.0
ENSG00000173614	1	9943428	9943515	+	4610	9943428.0
ENSG00000202415	1	9947318	9947636	+	319	9947318.0
ENSG00000283611	1	9951231	9951297	-	412	9951297.0
ENSG00000265521	1	9967381	9967458	+	78	9967381.0
ENSG00000241326	1	9983141	9983290	+	436	9983141.0
ENSG00000162444	1	9997206	9997331	+	861	9997206.0
ENSG00000130939	1	10032832	10033694	+	9128	10032832.0
ENSG00000224340	1	10054445	10054781	-	337	10054781.0
ENSG00000233623	1	10058671	10058943	+	680	10058671.0
ENSG00000201746	1	10163268	10163374	+	107	10163268.0
ENSG00000054523	1	10210805	10210878	+	17720	10210805.0
ENSG00000264881	1	10227718	10227803	+	86	10227718.0
ENSG00000199562	1	10298966	10299072	+	107	10298966.0
ENSG00000264501	1	10306465	10306757	+	293	10306465.0
ENSG00000142657	1	10398592	10398751	+	2966	10398592.0
ENSG00000251503	1	10430102	10430568	+	2244	10430102.0
ENSG00000175279	1	10430443	10430568	+	1739	10430443.0
ENSG00000271989	1	10429881	10430677	-	797	10430677.0
ENSG00000241563	1	10449719	10450322	+	1130	10449719.0
ENSG00000203469	1	10458555	10458772	+	467	10458555.0
ENSG00000160049	1	10456522	10461702	-	6622	10461702.0
ENSG00000142655	1	10472288	10472580	+	2995	10472288.0
ENSG00000243267	1	10616836	10617115	+	280	10616836.0
ENSG00000272078	1	10639241	10640077	+	7923	10639241.0
ENSG00000130940	1	10636604	10640059	-	11336	10640059.0
ENSG00000225158	1	10895761	10895998	+	238	10895761.0
ENSG00000175262	1	10946471	10946738	-	3573	10946738.0
ENSG00000215785	1	10990978	10991091	-	494	10991091.0
ENSG00000120948	1	11012344	11012428	+	6071	11012344.0
ENSG00000277726	1	11012662	11012743	+	2205	11012662.0
ENSG00000009724	1	11026523	11027648	-	4251	11027648.0
ENSG00000271895	1	11029659	11030528	+	870	11029659.0
ENSG00000116649	1	11054584	11054885	-	1898	11054885.0
ENSG00000171824	1	11066618	11066748	-	6003	11066748.0
ENSG00000226849	1	11068471	11068713	+	2682	11068471.0
ENSG00000230337	1	11099675	11099910	+	536	11099675.0
ENSG00000198793	1	11106535	11107500	-	12119	11107500.0
ENSG00000225602	1	11143898	11143987	+	763	11143898.0
ENSG00000253086	1	11152350	11152452	+	103	11152350.0
ENSG00000171819	1	11189341	11189955	+	2238	11189341.0
ENSG00000207451	1	11226254	11226360	+	107	11226254.0
ENSG00000238173	1	11232963	11233112	+	150	11232963.0
ENSG00000120942	1	11273206	11274060	+	5082	11273206.0
ENSG00000238199	1	11278616	11278868	-	437	11278868.0
ENSG00000224338	1	11425257	11425821	-	565	11425821.0
ENSG00000204624	1	11479166	11479372	+	6142	11479166.0
ENSG00000235643	1	11609531	11610113	+	1285	11609531.0
ENSG00000116661	1	11648367	11648828	-	2333	11648828.0
ENSG00000132879	1	11654375	11654581	+	3527	11654375.0
ENSG00000116663	1	11664124	11664255	+	1811	11664124.0
ENSG00000116670	1	11674480	11674816	-	3324	11674816.0
ENSG00000162490	1	11691729	11691853	+	7346	11691729.0
ENSG00000177674	1	11736084	11736235	+	2435	11736084.0
ENSG00000215910	1	11761787	11762274	+	6499	11761787.0
ENSG00000177553	1	11777077	11778284	-	1868	11778284.0
ENSG00000177000	1	11785723	11790898	-	10214	11790898.0
ENSG00000011021	1	11806096	11806349	+	6938	11806096.0
ENSG00000242349	1	11841017	11841207	+	1427	11841017.0
ENSG00000276470	1	11843812	11843984	+	173	11843812.0
ENSG00000278852	1	11845549	11845697	+	149	11845549.0
ENSG00000175206	1	11845709	11846014	-	1120	11846014.0
ENSG00000275915	1	11847442	11847549	+	108	11847442.0
ENSG00000120937	1	11857464	11857671	-	694	11857671.0
ENSG00000224904	1	11877770	11880406	+	2637	11877770.0
ENSG00000199347	1	11908152	11908271	+	120	11908152.0
ENSG00000201801	1	11909808	11909927	-	120	11909927.0
ENSG00000116685	1	11919591	11920332	-	3281	11920332.0
ENSG00000083444	1	11934205	11934323	+	5320	11934205.0
ENSG00000116688	1	11980181	11980484	+	4973	11980181.0
ENSG00000270914	1	12017216	12017308	-	93	12017308.0
ENSG00000116691	1	12019466	12019552	+	2821	12019466.0
ENSG00000202461	1	12024012	12024124	-	113	12024124.0
ENSG00000276869	1	12029158	12029222	+	65	12029158.0
ENSG00000243539	1	12036740	12037014	-	275	12037014.0
ENSG00000120949	1	12063377	12063661	+	3738	12063377.0
ENSG00000201135	1	12077881	12077984	-	104	12077984.0
ENSG00000227875	1	12080293	12080547	-	255	12080547.0
ENSG00000028137	1	12166943	12167038	+	3826	12166943.0
ENSG00000263676	1	12191713	12191773	+	61	12191713.0
ENSG00000225196	1	12220794	12221109	-	316	12221109.0
ENSG00000252969	1	12221148	12221271	-	124	12221271.0
ENSG00000048707	1	12230067	12230120	+	20023	12230067.0
ENSG00000239149	1	12507246	12507397	+	152	12507246.0
ENSG00000229484	1	12527724	12527792	+	438	12527724.0
ENSG00000162496	1	12567910	12568424	-	3036	12568424.0
ENSG00000221340	1	12569972	12570072	-	101	12570072.0
ENSG00000276830	1	12578957	12579023	-	67	12579023.0
ENSG00000272482	1	12618900	12619244	-	345	12619244.0
ENSG00000204518	1	12644547	12644714	+	1575	12644547.0
ENSG00000226166	1	12692909	12693020	+	112	12692909.0
ENSG00000188984	1	12716115	12716344	+	4049	12716115.0
ENSG00000157330	1	12746215	12746541	+	4118	12746215.0
ENSG00000116726	1	12774841	12775154	+	1786	12774841.0
ENSG00000116721	1	12791397	12791474	+	2439	12791397.0
ENSG00000228338	1	12822686	12822939	-	378	12822939.0
ENSG00000239810	1	12824605	12825503	-	1845	12825503.0
ENSG00000231103	1	12838125	12838204	-	1417	12838204.0
ENSG00000179172	1	12847408	12848470	-	1108	12848470.0
ENSG00000120952	1	12857086	12857147	+	1642	12857086.0
ENSG00000243073	1	12879224	12880105	-	1828	12880105.0
ENSG00000187545	1	12892896	12893474	-	1525	12893474.0
ENSG00000204510	1	12916610	12916707	+	1660	12916610.0
ENSG00000207434	1	12922554	12922660	+	107	12922554.0
ENSG00000234064	1	12926162	12926741	+	1139	12926162.0
ENSG00000232423	1	12938472	12939236	-	1784	12939236.0
ENSG00000274178	1	13029339	13029650	+	1450	13029339.0
ENSG00000274764	1	13049476	13050369	-	1863	13050369.0
ENSG00000229571	1	13060853	13060947	+	2013	13060853.0
ENSG00000277058	1	13060869	13060930	+	1148	13060869.0
ENSG00000277862	1	13095179	13095762	-	1447	13095762.0
ENSG00000236179	1	13104403	13104981	-	891	13104981.0
ENSG00000275774	1	13115496	13116581	-	1148	13116581.0
ENSG00000229978	1	13128818	13129104	+	1452	13128818.0
ENSG00000233336	1	13146981	13147240	-	384	13147240.0
ENSG00000280267	1	13148905	13149798	-	1863	13149798.0
ENSG00000179412	1	13164586	13165467	-	882	13165467.0
ENSG00000204505	1	13172455	13172532	+	1863	13172455.0
ENSG00000279169	1	13196823	13196991	-	1035	13196991.0
ENSG00000279804	1	13222695	13223905	-	2104	13223905.0
ENSG00000250894	1	13245863	13246149	+	1371	13245863.0
ENSG00000270601	1	13254212	13254275	+	1720	13254212.0
ENSG00000231219	1	13273539	13274111	-	1068	13274111.0
ENSG00000207511	1	13279125	13279231	-	107	13279231.0
ENSG00000182330	1	13281035	13281932	-	1937	13281932.0
ENSG00000204501	1	13303509	13303603	+	1960	13303509.0
ENSG00000237700	1	13305955	13306241	+	1425	13305955.0
ENSG00000228229	1	13324039	13324162	+	384	13324039.0
ENSG00000204481	1	13342034	13343086	-	2301	13343086.0
ENSG00000204480	1	13369067	13369640	-	1233	13369640.0
ENSG00000204479	1	13389632	13389944	+	1578	13389632.0
ENSG00000204478	1	13410450	13410544	+	1597	13410450.0
ENSG00000162494	1	13474977	13476099	-	2209	13476099.0
ENSG00000259961	1	13513220	13513341	+	477	13513220.0
ENSG00000215909	1	13555001	13555289	+	371	13555001.0
ENSG00000162493	1	13583465	13584100	+	3707	13583465.0
ENSG00000222952	1	13623184	13623284	-	101	13623284.0
ENSG00000237445	1	13657311	13657355	-	379	13657355.0
ENSG00000253085	1	13696070	13696199	-	130	13696199.0
ENSG00000116731	1	13700198	13700300	+	10923	13700198.0
ENSG00000189337	1	13892792	13893756	+	13841	13892792.0
ENSG00000252151	1	14124233	14124335	-	103	14124335.0
ENSG00000231606	1	14221891	14222107	-	282	14222107.0
ENSG00000234593	1	14348955	14349378	-	764	14349378.0
ENSG00000235829	1	14692129	14692407	-	326	14692407.0
ENSG00000175147	1	15111815	15117807	-	7100	15117807.0
ENSG00000171729	1	15152532	15152784	+	2240	15152532.0
ENSG00000204464	1	15164344	15164461	-	559	15164461.0
ENSG00000215720	1	15191828	15192441	-	710	15192441.0
ENSG00000278480	1	15226373	15227243	+	966	15226373.0
ENSG00000142621	1	15247272	15247395	+	12805	15247272.0
ENSG00000233485	1	15326680	15329683	-	3105	15329683.0
ENSG00000236045	1	15334166	15334699	-	727	15334699.0
ENSG00000228140	1	15402979	15407907	-	5178	15407907.0
ENSG00000142634	1	15409895	15410279	+	2531	15409895.0
ENSG00000162438	1	15438439	15438504	+	3486	15438439.0
ENSG00000142615	1	15456728	15456793	+	1519	15456728.0
ENSG00000215704	1	15465909	15466144	+	1457	15465909.0
ENSG00000132906	1	15490832	15494001	-	5269	15494001.0
ENSG00000116138	1	15526813	15526958	+	8563	15526813.0
ENSG00000251866	1	15542165	15542304	+	140	15542165.0
ENSG00000272510	1	15565611	15565956	-	346	15565956.0
